abbr,meaning
ПВФЛ,Промыватель воздуха фильтров
ПГКЛ-II,Второй промыватель газа колонн
ПГАБ,Промыватель газа абсорбции
САР,Сборник аммонизированного рассола
КЛПК,Колонна предварительной карбонизации
ПГКЛ-I,Первый промыватель газа колонн
СФЖ,Сборник фильтровой жидкости
КЛ,Карбонизационная колонна
ИС,Испаритель
ДС,Дистиллер
ДСЖ,Дистиллер слабой жидкости
ТДС,Теплообменник дистилляции
КДС,Конденсатор дистилляции
ХГДС,Холодильник газа дистилляции
ХГСП (ХГПК),Холодильник газа содовых печей (паровых кальцинаторов)
ПК,Паровые кальцинаторы
ИП,Известковые печи
СП,Содовые печи
АБ1/АБ2,абсорбер 1/ абсорбер 2
Наименование сокращений,Расшифровка
н.д.,нормальные деления
н.д./2л,нормальные деления на 2 литра
кг/т.с.,килограмм на тонну соды
м3/ч,метр кубический в час
м3,метр кубический
0С,градус Цельсия
кгс/см2,килограмм силы на квадратный сантиметр
мм.рт.ст,миллиметр ртутного столба
%,проценты
